model,vectorizer,accuracy,precision,recall,f1,train_time_s
SVM (Linear),ParsBERT-frozen,0.8447,0.8469,0.8447,0.8445,51.6
LogisticRegression,ParsBERT-frozen,0.844,0.8461,0.844,0.8438,3.9
HistGradientBoosting,ParsBERT-frozen,0.8361,0.8394,0.8361,0.8357,13.2
Stacking,ParsBERT-frozen,0.8453,0.8473,0.8453,0.8451,1545.3
